,Title,Year,Age Rating,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime (min)
19,The Lobster,2015,18+,7.2,87.0,1,0,0,0,Yorgos Lanthimos,"Comedy,Drama,Romance,Sci-Fi,Thriller","Ireland,United Kingdom,Greece,France,Netherlands,United States","English,French,Greek",119.0
20,He Never Died,2015,18+,6.4,87.0,1,0,0,0,Jason Krawczyk,"Comedy,Drama,Fantasy,Horror,Thriller",Canada,English,99.0
21,Tucker and Dale vs. Evil,2010,18+,7.5,85.0,1,0,0,0,Eli Craig,"Comedy,Horror","Canada,United States,India",English,89.0
22,While We're Young,2014,18+,6.3,84.0,1,0,0,0,Noah Baumbach,"Comedy,Drama,Mystery",United States,English,97.0
23,The One I Love,2014,18+,7.1,82.0,1,0,0,0,Charlie McDowell,"Comedy,Drama,Sci-Fi",United States,English,91.0
24,Goon,2012,18+,6.8,81.0,1,0,0,0,Michael Dowse,"Comedy,Drama,Sport","United States,Canada","English,French",92.0
25,Young Adult,2011,18+,6.2,80.0,1,0,1,0,Jason Reitman,"Comedy,Drama",United States,English,94.0
26,The Fundamentals of Caring,2016,18+,7.3,77.0,1,0,1,0,Rob Burnett,"Comedy,Drama",United States,English,97.0
27,Comedian,2002,18+,6.9,76.0,1,0,0,0,Christian Charles,"Documentary,Comedy",United States,English,82.0
28,Kevin Hart: What Now?,2016,18+,5.9,76.0,1,0,0,0,"Leslie Small,Tim Story","Documentary,Comedy",United States,English,96.0
29,Seoul Searching,2015,18+,7.1,75.0,1,0,0,0,Benson Lee,"Comedy,Drama,Music,Romance","South Korea,China,United States","English,Korean,German",105.0
30,Get Him to the Greek,2010,18+,6.4,72.0,1,0,0,0,Nicholas Stoller,"Comedy,Music",United States,English,109.0
31,Kevin Hart: Laugh at My Pain,2011,18+,7.4,71.0,1,0,0,0,"Leslie Small,Tim Story","Documentary,Comedy",United States,English,89.0
32,Swiss Army Man,2016,18+,7.0,71.0,1,0,0,0,"Dan Kwan,Daniel Scheinert","Comedy,Drama,Fantasy,Romance","United States,Sweden",English,97.0
33,About Time,2013,18+,7.8,68.0,1,0,0,0,Richard Curtis,"Comedy,Drama,Fantasy,Romance,Sci-Fi",United Kingdom,English,123.0
34,Zack and Miri Make a Porno,2008,18+,6.5,65.0,1,0,0,0,Kevin Smith,"Comedy,Romance",United States,English,101.0
35,Laggies,2014,18+,6.4,65.0,1,0,0,0,Lynn Shelton,"Comedy,Drama,Romance",United States,English,99.0
36,Sleeping with Other People,2015,18+,6.5,64.0,1,0,0,0,Leslye Headland,"Comedy,Drama,Romance",United States,English,101.0
37,Kevin Hart: Let Me Explain,2013,18+,6.8,61.0,1,0,0,0,"Leslie Small,Tim Story","Documentary,Comedy",United States,English,75.0
38,Maps to the Stars,2014,18+,6.2,61.0,1,0,0,0,David Cronenberg,"Comedy,Drama","Canada,Germany,France,United States",English,111.0
39,War on Everyone,2016,18+,5.8,61.0,1,0,0,0,John Michael McDonagh,"Action,Comedy,Crime",United Kingdom,"English,Spanish",98.0
40,She's Out of My League,2010,18+,6.4,58.0,1,0,1,0,Jim Field Smith,"Comedy,Romance",United States,"English,Ukrainian",104.0
41,Trailer Park Boys: The Movie,2006,18+,7.2,57.0,1,0,0,0,Mike Clattenburg,"Comedy,Crime",Canada,English,95.0
42,My Suicide,2009,18+,7.2,57.0,1,0,0,0,David Lee Miller,"Comedy,Drama",United States,English,107.0
43,The Interview,2014,18+,6.5,52.0,1,1,1,0,"Evan Goldberg,Seth Rogen","Action,Adventure,Comedy",United States,"English,Korean",112.0
44,The Rum Diary,2011,18+,6.2,51.0,1,0,0,0,Bruce Robinson,"Comedy,Drama","United States,United Kingdom","English,Spanish,German",119.0
45,Mascots,2016,18+,5.7,49.0,1,0,0,0,Christopher Guest,Comedy,United States,English,89.0
